doc_id,u0,u1,u2,u3,u4,u5,u6,u7,u8,u9,u10,u11,u12,u13,u14,topic_cluster
e2c99d009f89e94853ee68ec,0.0027464605,3.7105105,10.227311,6.0140543,1.8211839,8.502218,8.990864,9.445235,6.937954,7.963723,4.1184196,2.6947885,5.410777,3.9406965,3.4748201,4
e2dc5d95b101ebfaaee02bde,1.1719315,4.1122885,9.389748,4.1695156,1.1663066,8.39522,10.781386,9.282925,7.1221323,9.336515,3.3228748,3.305926,6.064972,4.8352714,3.4043925,-1
e83d54641bb5ae232014ede3,1.1970952,4.1948028,9.793058,4.170488,0.9110686,8.327207,9.884543,9.62668,6.256957,9.443928,2.9283729,2.89934,5.7336235,4.4000554,3.7796502,-1
ed56e9cd3bd1af7231c48eb8,1.1770723,4.3965573,9.888997,4.089318,0.9495643,8.317651,10.019867,9.547707,6.321618,9.455212,2.8529394,3.1153193,5.749319,4.476706,3.6454148,-1
f874414a70b6d37dc85bddde,0.9860275,4.0914145,10.012419,3.9524894,1.1309837,8.216145,10.301797,9.4139595,6.207972,9.125523,3.177257,3.458176,5.3711743,5.0400887,3.309963,19
fade1a79494c620fe56d8f60,1.2975214,4.2620473,9.331885,4.8218317,0.36922544,8.160125,10.075666,10.032156,7.083118,10.237251,3.0971131,3.4452004,5.8379545,4.8134704,3.3456979,48
fbd09c2b1708ae952a4b7ae9,1.9611441,4.2843966,8.974638,3.1968758,0.8191873,8.536162,10.809571,9.762351,6.2910023,9.740309,2.9911914,3.0984368,5.8327217,4.4912696,3.459076,23
fdfe7923ce76e8aa20a559d0,1.1257217,4.4004717,9.3106985,4.7983966,0.40088606,8.188082,10.416972,9.897254,7.301072,10.16447,3.08019,3.508879,5.968504,4.792065,3.2827353,-1
00aef918e51b5d3f93d93916,0.88829005,4.367357,9.288736,3.9848487,0.74045306,7.9976845,11.460515,9.054119,6.837197,9.065382,2.6809955,3.0453866,5.5265985,4.548516,3.6226816,-1
0243aae57d53fe295df73970,1.3873193,3.9028506,9.413696,3.4746253,1.1501676,8.514863,10.917263,9.40766,6.4365964,9.427985,3.7486567,3.5622811,5.3405585,5.024392,3.0480213,21
0a4e3333e4e92990004211b2,1.2170594,4.194664,9.141032,4.1204543,0.70578,8.47505,10.323469,9.676467,6.447761,8.905684,2.4163134,2.758839,5.941803,4.3563066,3.7870407,24
17a421712daa51b1858228ff,1.128399,3.9434392,9.259925,4.46381,0.89041144,8.205083,11.503477,8.768886,7.18454,9.190281,2.9618921,3.3791676,5.428096,4.781601,3.4265735,52
1bcc3362cc9b1c68263b03ef,1.153471,4.2828774,9.208663,4.1759243,0.64143986,8.464531,10.292956,9.655966,6.4822235,8.959971,2.375374,2.7236536,5.9656334,4.3466277,3.8045256,24
1e0a5f993bdf59718abd1139,1.759136,3.357789,9.536307,4.1311216,1.5903215,8.342956,10.178083,9.733095,7.1004233,9.123223,4.0215964,3.5937755,6.049069,5.4477262,3.2709618,40
200a39a90da96276463b1e9b,0.88476646,4.5875196,9.452396,5.0328074,0.499848,8.613052,10.367641,9.401068,7.3445783,9.519498,2.4266214,3.3825247,5.9404936,4.6771054,3.5127063,41
23099d58faac01c104d747a3,1.132824,4.101113,9.250473,4.323492,0.70835894,8.076844,11.547386,8.90499,7.121473,9.303398,2.8575063,3.2869613,5.4449944,4.745554,3.4875228,52
237d491a61abb2bbd1948b49,0.9238588,4.2356625,9.28698,4.1087503,0.8714839,7.9751997,11.257735,9.085191,6.7941666,9.051334,2.753439,3.050102,5.462054,4.5101843,3.643087,-1
